S1,Sample start,Track start,Track end,,
3,19970101,20040101,20050101,,
4,19980101,20050101,20060101,,
5,19990101,20060101,20070101,,
6,20000101,20070101,20080101,,
7,20010101,20080101,20090101,,
8,20020101,20090101,20100101,,
9,20030101,20100101,20110101,,
10,20040101,20110101,20120101,,
11,20050101,20120101,20130101,,
12,20060101,20130101,20140101,,
S10,,,,,
0,19940101,20020101,20030101,,
1,19950101,20030101,20040101,,
2,19960101,20040101,20050101,,
3,19970101,20050101,20060101,,
4,19980101,20060101,20070101,,
5,19990101,20070101,20080101,,
6,20000101,20080101,20090101,,
7,20010101,20090101,20100101,,
8,20020101,20100101,20110101,,
9,20030101,20110101,20120101,,
10,20040101,20120101,20130101,,
11,20050101,20130101,20140101,,
S11,,,,,
0,19940101,20030101,20040101,,
1,19950101,20040101,20050101,,
2,19960101,20050101,20060101,,
3,19970101,20060101,20070101,,
4,19980101,20070101,20080101,,
5,19990101,20080101,20090101,,
6,20000101,20090101,20100101,,
7,20010101,20100101,20110101,,
8,20020101,20110101,20120101,,
9,20030101,20120101,20130101,,
10,20040101,20130101,20140101,,
S12,,,,,
0,19940101,20040101,20050101,,
1,19950101,20050101,20060101,,
2,19960101,20060101,20070101,,
3,19970101,20070101,20080101,,
4,19980101,20080101,20090101,,
5,19990101,20090101,20100101,,
6,20000101,20100101,20110101,,
7,20010101,20110101,20120101,,
8,20020101,20120101,20130101,,
9,20030101,20130101,20140101,,
S13,,,,,
0,19940101,19990101,20000701,,
1,19950101,20000101,20010701,,
2,19960101,20010101,20020701,,
3,19970101,20020101,20030701,,
4,19980101,20030101,20040701,,
5,19990101,20040101,20050701,,
6,20000101,20050101,20060701,,
7,20010101,20060101,20070701,,
8,20020101,20070101,20080701,,
9,20030101,20080101,20090701,,
10,20040101,20090101,20100701,,
11,20050101,20100101,20110701,,
12,20060101,20110101,20120701,,
13,20070101,20120101,20130701,,
14,20080101,20130101,20140701,,
S14,,,,,
0,19940101,20000101,20010701,,
1,19950101,20010101,20020701,,
2,19960101,20020101,20030701,,
3,19970101,20030101,20040701,,
4,19980101,20040101,20050701,,
5,19990101,20050101,20060701,,
6,20000101,20060101,20070701,,
7,20010101,20070101,20080701,,
8,20020101,20080101,20090701,,
9,20030101,20090101,20100701,,
