Server Version:76
TWS Time at connection:20160607 09:47:49 AEST
Got account: DU289674
Connected
Account=DU289674
message: id=-1, errorCode=2107, msg=HMDS data farm connection is inactive but should be available upon demand.ushmds
REQ EXECUTIONS Start
Order Id=18
-- little sleep --
ACCOUNT: account=DU289674 key=OptionMarketValue value=0 currency=AUD
ACCOUNT: account=DU289674 key=OptionMarketValue value=0 currency=BASE
ACCOUNT: account=DU289674 key=OptionMarketValue value=0 currency=USD
ACCOUNT: account=DU289674 key=PASharesValue value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=PASharesValue-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=PASharesValue-S value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=PostExpirationExcess value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=PostExpirationExcess-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=PostExpirationExcess-S value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=PostExpirationMargin value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=PostExpirationMargin-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=PostExpirationMargin-S value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=PreviousDayEquityWithLoanValue value=1377960.77 currency=AUD
ACCOUNT: account=DU289674 key=PreviousDayEquityWithLoanValue-S value=1377960.77 currency=AUD
ACCOUNT: account=DU289674 key=RealCurrency value=AUD currency=AUD
ACCOUNT: account=DU289674 key=RealCurrency value=BASE currency=BASE
ACCOUNT: account=DU289674 key=RealCurrency value=USD currency=USD
ACCOUNT: account=DU289674 key=RealizedPnL value=0 currency=AUD
ACCOUNT: account=DU289674 key=RealizedPnL value=0 currency=BASE
ACCOUNT: account=DU289674 key=RealizedPnL value=0 currency=USD
ACCOUNT: account=DU289674 key=RegTEquity value=1378122.24 currency=AUD
ACCOUNT: account=DU289674 key=RegTEquity-S value=1378122.24 currency=AUD
ACCOUNT: account=DU289674 key=RegTMargin value=515620.81 currency=AUD
ACCOUNT: account=DU289674 key=RegTMargin-S value=515620.81 currency=AUD
ACCOUNT: account=DU289674 key=SMA value=2260582.25 currency=AUD
ACCOUNT: account=DU289674 key=SMA-S value=2260582.25 currency=AUD
ACCOUNT: account=DU289674 key=SegmentTitle-C value=US Commodities currency=null
ACCOUNT: account=DU289674 key=SegmentTitle-S value=US Securities currency=null
ACCOUNT: account=DU289674 key=StockMarketValue value=0 currency=AUD
ACCOUNT: account=DU289674 key=StockMarketValue value=1031242 currency=BASE
ACCOUNT: account=DU289674 key=StockMarketValue value=760097 currency=USD
ACCOUNT: account=DU289674 key=TBillValue value=0 currency=AUD
ACCOUNT: account=DU289674 key=TBillValue value=0 currency=BASE
ACCOUNT: account=DU289674 key=TBillValue value=0 currency=USD
ACCOUNT: account=DU289674 key=TBondValue value=0 currency=AUD
ACCOUNT: account=DU289674 key=TBondValue value=0 currency=BASE
ACCOUNT: account=DU289674 key=TBondValue value=0 currency=USD
ACCOUNT: account=DU289674 key=TotalCashBalance value=-23 currency=AUD
ACCOUNT: account=DU289674 key=TotalCashBalance value=346881 currency=BASE
ACCOUNT: account=DU289674 key=TotalCashBalance value=255692 currency=USD
ACCOUNT: account=DU289674 key=TotalCashValue value=346880.61 currency=AUD
ACCOUNT: account=DU289674 key=TotalCashValue-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=TotalCashValue-S value=346880.61 currency=AUD
ACCOUNT: account=DU289674 key=TradingType-S value=STKNOPT currency=null
ACCOUNT: account=DU289674 key=UnrealizedPnL value=0 currency=AUD
ACCOUNT: account=DU289674 key=UnrealizedPnL value=24711 currency=BASE
ACCOUNT: account=DU289674 key=UnrealizedPnL value=18214 currency=USD
