Code, Symbol,Ticker,Company Name, Market, Sector, Industry, Sub-Industry, Acquired by Code, Acquired by Symbol,Acquired by Ticker,Acquired by Company Name,Acquired by Market,Acquired by Sector,Acquired by Industry,Acquired by Sub-Industry
200,ASL,ASL:US,AngloGoldAshantiGhanaLtd,,Materials,Metals&Mining,'PreciousMetalMining,200,ANG,ANG:SJ,AngloGoldAshantiLtd,Johannesburg,Materials,Metals&Mining,'PreciousMetalMining,null
200,AZ,AZ:US,AllianzSE,,Financials,Insurance,'P&CInsurance,null
200,UBMT,UBMT:US,UnitedFinancialCorp,,Financials,Banking,'Banks,200,USB,USB:US,USBancorp,NewYork,Financials,Banking,'Banks,null
200,YUMA,YUMA:US,YumaEnergyInc,NYSEMKTLLC,Energy,Oil,Gas&Coal,'Exploration&Production,null
200,BTCI,BTCI:US,BrownTransportCoInc,,Industrials,Transportation&Logistics,'Trucking,null
200,AGSC,AGSC:US,AngusEnergyCorp,OTCUS,Energy,Oil,Gas&Coal,'Exploration&Production,null
200,PERI,PERI:US,PerionNetworkLtd,NASDAQGS,Technology,Software,'ApplicationSoftware,null
200,CCPI,CCPI:US,WorldPokerFundHoldingsInc,,ConsumerDiscretionary,Gaming,Lodging&Restaurants,'Casinos&Gaming,null
200,EVAC,EVAC:US,EdwardsGroupLtd,,Industrials,Machinery,'IndustrialMachinery,200,ATCOA,ATCOA:SS,AtlasCopcoAB,Stockholm,Industrials,Machinery,'Construction&MiningMachinery,null
404,PHA,null,null,null,null,null,'null,null
200,AINC,AINC:US,AshfordInc,NYSEMKTLLC,Financials,AssetManagement,'InvestmentManagement,null
200,GOCM,GOCM:US,GeocomResourcesInc,,Energy,Oil,Gas&Coal,'Exploration&Production,null
200,BELM,BELM:US,BellMicroproductsInc,,ConsumerDiscretionary,Distributors-Discretionary,'ConsumerElec&ApplcWhslrs,200,AVT,AVT:US,AvnetInc,NewYork,Technology,Design,Mfg&Distribution,'TechnologyDistributors,null
200,DMND,DMND:US,DiamondFoodsInc,,ConsumerStaples,ConsumerProducts,'PackagedFood,200,LNCE,LNCE:US,Snyder's-LanceInc,NASDAQGS,ConsumerStaples,ConsumerProducts,'PackagedFood,null
404,MSER,null,null,null,null,null,'null,null
200,CDTI,CDTI:US,CleanDieselTechnologiesInc,NASDAQCM,Industrials,TransportationEquipment,'CommercialVehicles,null
200,DEEP,DEEP:US,SuperiorOffshoreInternationalInc,,Industrials,Transportation&Logistics,'MarineShipping,null
200,AAMUQ,AAMUQ:US,AmericanAmmunitionInc,,Industrials,Aerospace&Defense,'DefensePrimes,null
200,DERM,DERM:US,DermiraInc,NASDAQGS,HealthCare,Biotech&Pharma,'Biotech,null
200,GDLN,GDLN:US,GuidelineInc,,Communications,Media,'Advertising&Marketing,200,794708Z,794708Z:US,CCMPCapitalAdvisorsLLC,,Financials,AssetManagement,'PrivateEquity,null
200,CCI,CCI:US,CrownCastleInternationalCorp,NewYork,Financials,RealEstate,'REIT,null
200,FFBA,FFBA:US,FirstColoradoBancorpInc,,Financials,Banking,'Banks,200,BNP,BNP:FP,BNPParibasSA,ENParis,Financials,Banking,'DiversifiedBanks,null
200,EPLN,EPLN:US,EpolinInc,,Materials,Chemicals,'SpecialtyChemicals,404,0209635D,null,null,null,null,null,'null,null
200,FBPC,FBPC:US,FirstFinancialBancshares-Polk,,Financials,Banking,'Banks,null
200,CHRI,CHRI:US,ChinaHealthResourceInc,OTCUS,HealthCare,Biotech&Pharma,'SpecialtyPharma,null
200,WAYN,WAYN:US,WayneSavingsBancsharesInc,NASDAQGM,Financials,Banking,'Banks,null
200,BYU,BYU:US,Bristol-MyersSquibbCo,,HealthCare,Biotech&Pharma,'LargePharma,null
200,NVF,NVF:US,NVFCo,,Materials,Chemicals,'Basic&DiversifiedChemicals,null
200,CATZ,CATZ:US,ComputerAccessTechnologyCorp,,Technology,Hardware,'CommunicationsEquipment,200,TDY,TDY:US,TeledyneTechnologiesInc,NewYork,Industrials,Aerospace&Defense,'Aircraft&Parts,null
200,AUTDA,AUTDA:US,AutoDepotInc,,ConsumerDiscretionary,Retail-Discretionary,'AutomotiveRetailers,null
200,ICPT,ICPT:US,InterceptPharmaceuticalsInc,NASDAQGS,HealthCare,Biotech&Pharma,'Biotech,null
200,TXCOQ,TXCOQ:US,ReorganizedTXCOInc,,Energy,Oil,Gas&Coal,'Exploration&Production,null
200,BETM,BETM:US,AmericanWageringInc,,ConsumerDiscretionary,Gaming,Lodging&Restaurants,'Casinos&Gaming,200,1828642Z,null,williamhillholdingsltd,null,Sector:ConsumerDiscretionary,Industry:Gaming,Lodging&Restaurants,'Sub-Industry:Casinos&Gaming,null
200,ATEK,ATEK:US,NationalHealthcareExchangeServicesInc,,Communications,Media,'InternetBasedServices,null
200,NAR, NAR:US , North American Recycling Systems Inc ,  , Industrials , Waste & Environ Svcs & Equip ,' Waste Management ,null
200,RGO,RGO:US,RangerOilLtd,,Energy,Oil,Gas&Coal,'Exploration&Production,200,CNQ,CNQ:CN,CanadianNaturalResourcesLtd,Toronto,Energy,Oil,Gas&Coal,'Exploration&Production,null
404,CHSS,null,null,null,null,null,'null,null
200,CPTI,CPTI:US,CompassPlastics&TechnologiesInc,,Materials,Chemicals,'SpecialtyChemicals,null
200,CYDF,CYDF:US,MontagueInternationalHoldingLtd,,Communications,Telecom,'TelecomCarriers,null
