LYPZ.BE	BER
XLBS.L	LSE
VHYL.AS	AMS
DIA	PCX
C071.DU	DUS
EMLB	PCX
132030.KS	KSC
IUS4.MU	MUN
GWL	PCX
IS3M.DE	ISE
X4ME.SG	STU
117191.L	LSE
CD9.SW	PSX
QDVH.DE	GER
CNY	PCX
3782082.MU	MUN
HDIQ.L	LSE
LWEA.L	LSE
XBOT.MI	MIL
10ZB.L	LSE
IBCF.DE	GER
ZPDH.F	FRA
44ML.L	LSE
CBE3.L	LSE
102780.KS	KSC
33DP.L	LSE
ASHS.A	ASE
ZPRB.DE	GER
PSR	PCX
20GT.L	LSE
FLOT	PCX
SGI_GTM_1500.ST	STO
XMUS.SW	EBS
LYY6.SG	STU
EPRE.MI	PSX
GDXS	PCX
20GU.L	LSE
KOLD	PCX
PDSD.PA	PSX
CSRU.AS	AMS
TWNL.L	LSE
PXMV	PCX
CRPS.L	LSE
INDX-S19.TA	TLV
G2X.DE	GER
MSE.BR	PSX
RWK.A	ASE
IUKD.L	LSE
XMKE.F	FRA
UCI	PCX
LYYT.BE	BER
18M7.SG	STU
OD5F.HM	HAM
IGE	PCX
ES5R.F	FRA
ISQ1.BE	BER
GSG.A	ASE
NBF_NT70_A399A.ST	STO
006206.TW	TAI
MIDZ	PCX
IS3F.DE	GER
KCTILLV5KSHB.ST	STO
RQH.TO	TOR
LYP6.BE	BER
FINF	PCX
SOXX	NGM
XY4P.HM	HAM
SEMA.SW	ISE
IUSK.SG	STU
JPXX.L	LSE
VISO_GTM_1513.ST	STO
LOWV.SW	EBS
CU5.L	LSE
C011.HM	HAM
VG77.BE	BER
18MD.MU	MUN
JBSEMU.SW	EBS
EMCD	PCX
DBXJ.HM	HAM
LYPG.F	FRA
P3WF.BE	BER
SDY	PCX
XESC.MI	MIL
16CK.L	LSE
XMJP.ST	STO
^SCTR	NIM
LYM8.DE	GER
18MK.DU	DUS
PXF.TO	TOR
X4MC.F	FRA
19BA.L	LSE
XHFH.SW	EBS
PHPD.L	LSE
DBPE.F	FRA
PSRM.L	LSE
LALT	NGM
FTGU.MU	MUN
WOOD.AS	AMS
C101.DU	DUS
TCMR-31.TA	TLV
60PB.L	LSE
SPXV	PCX
E20Y.SW	ISE
